# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10
BLANK_GEOMS,13
# Name, xLoc, yLoc, zLoc, Mass, GeomID
Passengers,3.215000,0.000000,0.000000,500.000000,AYWKAIHEMY
MotorPropMidRR,5.200000,2.000000,0.600000,25.000000,RVGMNNVEIN
MotorPropMidFL,3.300000,-2.000000,0.600000,25.000000,SVDMEUOLQT
MotorPropMidRL,5.200000,-2.000000,0.600000,25.000000,WTFHNONIYQ
MotorPropMidFR,3.300000,2.000000,0.600000,25.000000,LIQYEGAXES
MotorPropTopR,7.100000,2.220000,1.800000,25.000000,QHKNXKXYIH
MotorPropTopL,7.100000,-2.220000,1.800000,25.000000,CPGHMUORIS
MotorPropBotL,1.600000,-1.500000,-0.300000,25.000000,CUUGEGHWTD
MotorPropBotR,1.600000,1.500000,-0.300000,25.000000,WWAQPXKQHQ
Turbogenerator,4.500000,0.000000,-0.100000,66.300000,CLEWADNDXR
Batteries,1.800000,0.000000,-0.500000,297.000000,ZWZRLDGEMK
R_FW_Motor,4.200000,5.200000,1.750000,25.000000,CTLRMAWIYV
L_FW_Motor,4.200000,-5.200000,1.750000,25.000000,WDUVDRNYQD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,COBWICBHMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
5.592838678753457859e-01, -3.734923980873910976e-01, -2.604515932617089691e-01, 3.571428571428571508e-01, 1.750000000000000000e+00
6.620833850063851944e-01, -3.881002278943664896e-01, -3.277261843827902842e-17, 3.571428571428571508e-01, 2.000000000000000000e+00
7.357037630317690979e-01, -3.731996647168869807e-01, 2.431197881241238534e-01, 3.571428571428571508e-01, 2.250000000000000000e+00
7.805558132220729028e-01, -3.160237070965572492e-01, 3.818627652675500306e-01, 3.571428571428571508e-01, 2.500000000000000000e+00
8.028861746690034717e-01, -1.978609529015404322e-01, 4.444287122706595539e-01, 3.571428571428571508e-01, 2.750000000000000000e+00
8.089414864642677783e-01, -4.813478333122232357e-17, 4.590174099738336677e-01, 3.571428571428571508e-01, 3.000000000000000000e+00
8.028861746690034717e-01, 1.978609529015403490e-01, 4.444287122706595539e-01, 3.571428571428571508e-01, 3.250000000000000000e+00
7.805558132220729028e-01, 3.160237070965571382e-01, 3.818627652675500306e-01, 3.571428571428571508e-01, 3.500000000000000000e+00
7.357037630317690979e-01, 3.731996647168869252e-01, 2.431197881241238534e-01, 3.571428571428571508e-01, 3.750000000000000000e+00
6.620833850063854165e-01, 3.881002278943664896e-01, 0.000000000000000000e+00, 3.571428571428571508e-01, 4.000000000000000000e+00
8.388415707876112348e-01, 4.423718260549458492e-01, 0.000000000000000000e+00, 4.285714285714285476e-01, 0.000000000000000000e+00
7.413723989892923028e-01, 4.296606175157394736e-01, -3.027567274848734780e-01, 4.285714285714285476e-01, 2.500000000000000000e-01
6.379804879040218424e-01, 3.716109511124836562e-01, -4.942953742390719385e-01, 4.285714285714285476e-01, 5.000000000000000000e-01
5.559424742939492736e-01, 2.383487656667223897e-01, -5.945789914331698345e-01, 4.285714285714285476e-01, 7.500000000000000000e-01
5.225349949212250156e-01, 0.000000000000000000e+00, -6.235706302377415078e-01, 4.285714285714285476e-01, 1.000000000000000000e+00
